65;7;1;65;181;66
148;7;2;65;181;66
35;7;3;65;181;66
166;7;4;65;181;66
170;7;5;65;181;66
38;7;6;65;181;66
216;7;7;65;181;66
40;7;8;65;181;66
215;7;9;65;181;66
271;7;10;65;181;66
5;7;11;65;181;66
144;7;12;65;181;66
139;7;13;65;181;66
231;7;14;65;181;66
32;7;15;65;181;66
14;7;16;65;181;66
83;7;17;65;181;66
18;7;18;65;181;66
268;7;19;65;181;66
8;7;20;65;181;66
272;7;21;65;181;66
269;7;22;65;181;66
118;7;23;65;181;66
182;7;24;65;181;66
135;7;25;65;181;66
132;7;26;65;181;66
15;7;27;65;181;66
142;7;28;65;181;66
236;7;29;65;181;66
209;7;31;65;181;66
168;7;32;65;181;66
253;7;33;65;181;66
279;7;34;65;181;66
181;7;35;65;181;66
102;7;37;65;181;66
224;7;38;65;181;66
238;7;39;65;181;66
66;7;40;65;181;66
