49;13;1;49;75;154
256;13;2;49;75;154
125;13;3;49;75;154
93;13;4;49;75;154
95;13;5;49;75;154
161;13;6;49;75;154
164;13;7;49;75;154
4;13;8;49;75;154
165;13;9;49;75;154
255;13;10;49;75;154
275;13;11;49;75;154
39;13;12;49;75;154
101;13;13;49;75;154
64;13;14;49;75;154
2;13;15;49;75;154
261;13;16;49;75;154
21;13;17;49;75;154
179;13;18;49;75;154
99;13;20;49;75;154
134;13;21;49;75;154
171;13;22;49;75;154
137;13;23;49;75;154
192;13;24;49;75;154
146;13;25;49;75;154
73;13;26;49;75;154
75;13;27;49;75;154
152;13;29;49;75;154
116;13;30;49;75;154
42;13;31;49;75;154
74;13;32;49;75;154
226;13;33;49;75;154
154;13;34;49;75;154
