1;9;88;
2;187;19;
3;82;50;
3bis;126;33;
4;24;303;
5;47;15;
6;25;19;
7;65;181;66
7bis;215;298;
8;112;299;
9;108;51;
10;184;23;
11;8;96;
12;302;115;
13;49;75;154
14;2;37;
