302;12;1;302;115
149;12;2;302;115
143;12;3;302;115
58;12;4;302;115
106;12;5;302;115
174;12;6;302;115
213;12;7;302;115
57;12;8;302;115
283;12;9;302;115
185;12;10;302;115
234;12;11;302;115
2;12;12;302;115
34;12;13;302;115
43;12;14;302;115
288;12;15;302;115
219;12;16;302;115
208;12;17;302;115
67;12;18;302;115
281;12;19;302;115
244;12;20;302;115
4;12;21;302;115
292;12;22;302;115
81;12;23;302;115
211;12;24;302;115
131;12;25;302;115
63;12;26;302;115
52;12;27;302;115
153;12;28;302;115
115;12;29;302;115
