112;8;1;112;299
221;8;2;112;299
188;8;3;112;299
250;8;4;112;299
195;8;5;112;299
30;8;6;112;299
105;8;7;112;299
243;8;8;112;299
39;8;9;112;299
43;8;10;112;299
34;8;11;112;299
14;8;12;112;299
77;8;13;112;299
44;8;14;112;299
80;8;15;112;299
36;8;16;112;299
6;8;17;112;299
264;8;18;112;299
263;8;19;112;299
278;8;20;112;299
13;8;21;112;299
133;8;22;112;299
180;8;23;112;299
70;8;24;112;299
258;8;25;112;299
71;8;26;112;299
240;8;27;112;299
198;8;28;112;299
290;8;29;112;299
204;8;30;112;299
178;8;31;112;299
155;8;32;112;299
274;8;33;112;299
247;8;34;112;299
241;8;35;112;299
169;8;36;112;299
87;8;37;112;299
299;8;38;112;299
