108;9;1;108;51
201;9;2;108;51
62;9;3;108;51
85;9;4;108;51
246;9;5;108;51
248;9;6;108;51
233;9;7;108;51
242;9;8;108;51
228;9;9;108;51
117;9;10;108;51
173;9;11;108;51
28;9;12;108;51
239;9;13;108;51
119;9;14;108;51
12;9;15;108;51
190;9;16;108;51
64;9;17;108;51
183;9;18;108;51
29;9;19;108;51
32;9;20;108;51
77;9;21;108;51
44;9;22;108;51
80;9;23;108;51
36;9;24;108;51
6;9;25;108;51
114;9;26;108;51
191;9;27;108;51
78;9;28;108;51
123;9;29;108;51
199;9;30;108;51
19;9;31;108;51
254;9;32;108;51
177;9;33;108;51
90;9;34;108;51
110;9;35;108;51
84;9;36;108;51
51;9;37;108;51
