172;QUAI DE LA GARE;6
173;RUE DE LA POMPE;9
174;LAMARCK-CAULAINCOURT;12
175;CHEVALERET;6
176;SIMPLON;4
177;MARAICHERS;9
178;CHARENTON-ECOLES;8
179;LA FOURCHE;13
180;FAIDHERBE-CHALIGNY;8
181;MAIRIE D'IVRY;7
182;PLACE MONGE;7
183;SAINT-AUGUSTIN;9
184;BOULOGNE PONT DE SAINT-CLOUD;10
185;NOTRE-DAME-DE-LORETTE;12
186;SAINT-MAUR;3
187;PORTE DAUPHINE;2
188;BOUCICAUT;8
189;ARGENTINE;1
190;SAINT-PHILIPPE-DU-ROULE;9
191;SAINT-AMBROISE;9
192;CARREFOUR PLEYEL;13
193;ROME;2
194;CLUNY LA SORBONNE;10
195;COMMERCE;8
196;DUGOMMIER;6
197;COURCELLES;2
198;PORTE DOREE;8
199;RUE DES BOULETS;9
200;ETIENNE MARCEL;4
201;BILLANCOURT;9
202;NATIONALE;6
203;JACQUES BONSERGENT;5
204;LIBERTE;8
205;CORVISART;6
206;LOUVRE;1
207;WAGRAM;3
208;RUE DU BAC;12
209;PORTE D'ITALIE;7
210;MAUBERT-MUTUALITE;10
211;VOLONTAIRES;12
212;MALESHERBES;3
213;ABBESSES;12
214;BERAULT;1
215;LOUIS BLANC;7;7bis
216;RIQUET;7
217;TUILERIES;1
218;JAVEL-ANDRE CITROEN;10
219;SOLFERINO;12
220;BREGUET-SABIN;5
221;LOURMEL;8
222;SAINT-SULPICE;4
223;SEVRES-LECOURBE;6
224;VILLEJUIF-LEO LAGRANGE;7
225;BEL AIR;6
226;LES AGNETTES;13
227;CITE;4
228;RANELAGH;9
229;BOBIGNY-PANTIN-RAYMOND QUENEAU;5
230;VAVIN;4
231;LE PELETIER;7
232;EDGAR QUINET;6
233;MICHEL-ANGE-AUTEUIL;9;10
234;TRINITE-D'ESTIENNE D'ORVES;12
235;TELEGRAPHE;11
236;MAISON BLANCHE;7
237;BOISSIERE;6
238;VILLEJUIF-PAUL VAILLANT-COUTURIER;7
239;IENA;9
240;MICHEL BIZOT;8
241;CRETEIL-L'ECHAT;8
242;JASMIN;9
243;LA TOUR-MAUBOURG;8
244;NOTRE-DAME-DES-CHAMPS;12
245;SAINT-MARCEL;5
246;EXELMANS;9
247;MAISONS-ALFORT-LES JUILLIOTTES;8
248;MICHEL-ANGE-MOLITOR;9;10
249;SAINT-JACQUES;6
250;FELIX FAURE;8
251;AVRON;2
252;MABILLON;10
253;PORTE D'IVRY;7
254;BUZENVAL;9
255;SAINT-FRANCOIS-XAVIER;13
256;MALAKOFF-RUE ETIENNE DOLET;13
257;PHILIPPE AUGUSTE;2
258;MONTGALLET;8
259;RASPAIL;4;6
260;QUATRE-SEPTEMBRE;3
261;LIEGE;13
262;MOUTON-DUVERNET;4
263;SAINT-SEBASTIEN-FROISSART;8
264;FILLES DU CALVAIRE;8
265;CARDINAL LEMOINE;10
266;RICHARD LENOIR;5
267;SEGUR;10
268;PONT NEUF;7
269;SULLY-MORLAND;7
270;MONCEAU;2
271;CHATEAU-LANDON;7
272;PONT MARIE;7
273;EUROPE;3
274;MAISONS-ALFORT-STADE;8
275;VARENNE;13
276;PICPUS;6
277;AVENUE EMILE ZOLA;10
278;CHEMIN VERT;8
279;PIERRE CURIE;7
280;MIRABEAU;10
281;RENNES;12
282;TEMPLE;3
283;SAINT-GEORGES;12
284;CAMPO-FORMIO;5
285;QUAI DE LA RAPEE;5
286;KLEBER;6
287;BOTZARIS;7bis
288;ASSEMBLEE NATIONALE;12
289;SAINT-FARGEAU;3bis
290;PORTE DE CHARENTON;8
291;VANEAU;10
292;FALGUIERE;12
293;PORTE D'AUTEUIL;10
294;DANUBE;7bis
295;CHARDON-LAGACHE;10
296;BOLIVAR;7bis
297;BUTTES-CHAUMONT;7bis
298;PRE-SAINT-GERVAIS;7bis
299;CRETEIL-POINTE DU LAC;8
300;PELLEPORT;3bis
301;EGLISE D'AUTEUIL;10
302;AUBERVILLIERS FRONT POPULAIRE;12
303;MAIRIE DE MONTROUGE;4
